# eV	sigma	Fitting	Drude0	Lorentz1	Lorentz2	Lorentz3	Lorentz4
5.73217	2865.78621	2865.06865	58.06132	7.28146	164.97236	430.86611	2203.88741
5.72006	2857.76808	2857.36355	58.29971	7.31719	166.16432	434.19684	2191.38548
5.70796	2849.48600	2849.43328	58.53955	7.35321	167.36994	437.56079	2178.60979
5.69585	2841.03963	2841.28757	58.78086	7.38950	168.58941	440.95823	2165.56957
5.68375	2832.41123	2832.93626	59.02365	7.42606	169.82297	444.38941	2152.27417
5.67164	2823.56085	2824.38931	59.26793	7.46291	171.07082	447.85461	2138.73303
5.65954	2814.54639	2815.65675	59.51372	7.50005	172.33319	451.35408	2124.95572
5.64743	2805.40479	2806.74869	59.76102	7.53747	173.61031	454.88808	2110.95182
5.63533	2796.09569	2797.67529	60.00984	7.57518	174.90241	458.45684	2096.73101
5.62322	2786.61512	2788.44675	60.26021	7.61319	176.20973	462.06063	2082.30299
5.61112	2777.04812	2779.07327	60.51213	7.65150	177.53251	465.69966	2067.67747
5.59901	2767.37893	2769.56508	60.76562	7.69010	178.87100	469.37419	2052.86417
5.58691	2757.59024	2759.93238	61.02068	7.72901	180.22545	473.08442	2037.87281
5.57480	2747.74889	2750.18534	61.27733	7.76823	181.59611	476.83058	2022.71308
5.56270	2737.83602	2740.33410	61.53559	7.80776	182.98325	480.61288	2007.39461
5.55060	2727.79861	2730.38873	61.79547	7.84760	184.38714	484.43152	1991.92701
5.53849	2717.67699	2720.35924	62.05698	7.88776	185.80804	488.28669	1976.31978
5.52639	2707.53608	2710.25556	62.32013	7.92824	187.24623	492.17857	1960.58239
5.51428	2697.36801	2700.08750	62.58494	7.96904	188.70200	496.10734	1944.72418
5.50218	2687.17636	2689.86478	62.85142	8.01017	190.17563	500.07316	1928.75439
5.49007	2676.98280	2679.59700	63.11959	8.05163	191.66743	504.07618	1912.68217
5.47797	2666.78685	2669.29363	63.38946	8.09343	193.17768	508.11654	1896.51652
5.46586	2656.58634	2658.96399	63.66104	8.13557	194.70670	512.19437	1880.26631
5.45376	2646.37938	2648.61726	63.93435	8.17805	196.25480	516.30978	1863.94028
5.44165	2636.17161	2638.26244	64.20941	8.22087	197.82229	520.46286	1847.54701
5.42955	2625.97280	2627.90841	64.48622	8.26405	199.40952	524.65371	1831.09491
5.41744	2615.81435	2617.56381	64.76480	8.30758	201.01680	528.88238	1814.59225
5.40534	2605.68910	2607.23715	65.04517	8.35147	202.64447	533.14893	1798.04711
5.39323	2595.58387	2596.93672	65.32735	8.39572	204.29289	537.45338	1781.46738
5.38113	2585.54670	2586.67064	65.61134	8.44034	205.96241	541.79577	1764.86079
5.36902	2575.58519	2576.44681	65.89717	8.48532	207.65338	546.17607	1748.23487
5.35692	2565.68439	2566.27292	66.18484	8.53069	209.36618	550.59426	1731.59695
5.34481	2555.87193	2556.15648	66.47438	8.57643	211.10118	555.05030	1714.95419
5.33271	2546.14647	2546.10475	66.76580	8.62255	212.85876	559.54410	1698.31353
5.32060	2536.48497	2536.12481	67.05912	8.66907	214.63933	564.07559	1681.68170
5.30850	2526.90816	2526.22349	67.35435	8.71597	216.44327	568.64463	1665.06526
5.29640	2517.40752	2516.40741	67.65151	8.76327	218.27100	573.25109	1648.47054
5.28429	2507.94768	2506.68298	67.95062	8.81098	220.12294	577.89478	1631.90366
