# eV	sigma	Fitting	Drude0	Lorentz1	Lorentz2	Lorentz3	Lorentz4
3.75909	2088.97951	2064.15498	69.60397	30.61247	1410.89135	52.88855	500.15864
3.74699	2095.57203	2072.20297	70.04658	30.88650	1425.37131	51.20055	494.69803
3.73488	2105.45028	2080.42515	70.49340	31.16441	1439.89393	49.58013	489.29328
3.72278	2112.09791	2088.80937	70.94448	31.44627	1454.45056	48.02420	483.94386
3.71067	2118.32630	2097.34310	71.39988	31.73215	1469.03205	46.52979	478.64923
3.69857	2124.21538	2106.01345	71.85965	32.02214	1483.62872	45.09407	473.40887
3.68646	2127.48743	2114.80712	72.32385	32.31631	1498.23033	43.71438	468.22225
3.67436	2132.38927	2123.71039	72.79254	32.61474	1512.82612	42.38813	463.08885
3.66225	2139.62817	2132.70912	73.26577	32.91753	1527.40477	41.11292	458.00815
3.65015	2142.62723	2141.78875	73.74360	33.22475	1541.95438	39.88640	452.97962
3.63804	2148.26775	2150.93424	74.22608	33.53649	1556.46250	38.70639	448.00277
3.62594	2154.51530	2160.13010	74.71329	33.85285	1570.91610	37.57079	443.07706
3.61383	2160.47787	2169.36039	75.20529	34.17392	1585.30158	36.47761	438.20200
3.60173	2166.16669	2178.60868	75.70212	34.49980	1599.60474	35.42494	433.37708
3.58962	2172.58830	2187.85808	76.20387	34.83057	1613.81083	34.41100	428.60181
3.57752	2183.19647	2197.09120	76.71058	35.16635	1627.90453	33.43407	423.87567
3.56541	2198.38318	2206.29023	77.22234	35.50724	1641.86996	32.49252	419.19818
3.55331	2207.47658	2215.43684	77.73920	35.85333	1655.69067	31.58480	414.56884
3.54120	2215.68822	2224.51230	78.26123	36.20475	1669.34971	30.70945	409.98717
3.52910	2224.02739	2233.49740	78.78850	36.56159	1682.82957	29.86506	405.45268
3.51700	2231.66259	2242.37253	79.32108	36.92398	1696.11227	29.05030	400.96490
3.50489	2239.21378	2251.11767	79.85905	37.29203	1709.17934	28.26392	396.52334
3.49279	2249.53423	2259.71241	80.40247	37.66585	1722.01187	27.50469	392.12753
3.48068	2262.00838	2268.13603	80.95141	38.04559	1734.59054	26.77148	387.77701
3.46858	2274.12580	2276.36745	81.50596	38.43135	1746.89564	26.06320	383.47130
3.45647	2284.25913	2284.38534	82.06619	38.82327	1758.90713	25.37880	379.20995
3.44437	2294.52558	2292.16813	82.63217	39.22149	1770.60467	24.71731	374.99250
3.43226	2304.26313	2299.69405	83.20398	39.62614	1781.96767	24.07778	370.81849
3.42016	2308.84698	2306.94120	83.78171	40.03735	1792.97536	23.45930	366.68747
3.40805	2315.03534	2313.88758	84.36544	40.45528	1803.60682	22.86104	362.59900
3.39595	2324.34751	2320.51119	84.95524	40.88008	1813.84107	22.28218	358.55263
3.38384	2329.63153	2326.79005	85.55120	41.31189	1823.65710	21.72193	354.54793
3.37174	2330.21302	2332.70227	86.15341	41.75087	1833.03398	21.17956	350.58446
3.35963	2330.41166	2338.22617	86.76195	42.19718	1841.95088	20.65437	346.66178
3.34753	2331.27470	2343.34028	87.37692	42.65099	1850.38720	20.14568	342.77948
3.33542	2329.17213	2348.02347	87.99840	43.11247	1858.32262	19.65285	338.93713
3.32332	2329.94607	2352.25502	88.62648	43.58179	1865.73717	19.17527	335.13431
3.31121	2329.60923	2356.01469	89.26127	44.05912	1872.61134	18.71235	331.37061
3.29911	2328.42258	2359.28280	89.90284	44.54467	1878.92615	18.26354	327.64560
3.28700	2329.50250	2362.04032	90.55130	45.03861	1884.66322	17.82829	323.95890
3.27490	2328.74749	2364.26898	91.20675	45.54114	1889.80489	17.40611	320.31009
3.26280	2331.79925	2365.95130	91.86928	46.05246	1894.33429	16.99650	316.69877
